,nome,genero,editora,vendasTotais,X360,Wii,PSP,PS3,PS4,3DS,PSV,XOne,WiiU,avaliacao_criticos_media,numero_criticos_total,avaliacao_usuarios_media,numero_usuarios_total,fabricante
0,2010 FIFA World Cup South Africa,2,Electronic Arts,2.8,1,1,1,1,0,0,0,0,0,79.89115646258503,147.0,7.913084112149531,107.0,Electronic Arts
1,50 Cent: Blood on the Sand,3,THQ,0.37,1,0,0,1,0,0,0,0,0,71.4065934065934,91.0,6.777777777777778,99.0,Swordfish Studios
2,ATV Offroad Fury Pro,9,Sony Computer Entertainment,0.43,0,0,1,0,0,0,0,0,0,76.0,32.0,,0.0,Climax Group
3,ATV Quad Kings,9,Zoo Digital Publishing,0.22,0,1,0,0,0,0,0,0,0,33.0,4.0,,0.0,Beyond Reality
4,Ace Combat X: Skies of Deception,11,Namco Bandai Games,0.97,0,0,1,0,0,0,0,0,0,75.0,26.0,8.5,27.0,Access Games
5,Afrika,8,Unknown,0.2,0,0,0,1,0,0,0,0,0,63.0,12.0,6.1,34.0,Rhino Studios
6,After Burner: Black Falcon,11,Sega,0.01,0,0,1,0,0,0,0,0,0,73.0,30.0,6.6,7.0,Planet Moon Studios
7,Agatha Christie: And Then There Were None,8,The Adventure Company,0.07,0,1,0,0,0,0,0,0,0,50.0,23.0,6.3,11.0,AWE Games
8,Air Conflicts: Secret Wars,11,bitComposer Games,0.18,1,0,0,1,0,0,0,0,0,57.36363636363637,22.0,,0.0,Games Farm
9,Akai Katana Shin,3,Cave,0.04,1,0,0,0,0,0,0,0,0,75.0,17.0,8.0,21.0,Cave
10,Alan Wake,1,Microsoft Game Studios,1.25,1,0,0,0,0,0,0,0,0,83.0,100.0,8.0,939.0,Remedy Entertainment
11,Alien Syndrome,5,Sega,0.13,0,1,1,0,0,0,0,0,0,49.36363636363637,44.0,6.415384615384615,26.0,Totally Games
12,All-Pro Football 2K8,2,Take-Two Interactive,0.4,1,0,0,1,0,0,0,0,0,73.97777777777777,45.0,7.021739130434782,69.0,Visual Concepts
13,Alone in the Dark,8,Atari,0.6499999999999999,1,1,0,0,0,0,0,0,0,54.98412698412698,63.0,5.454857142857143,175.0,Eden Studios
14,Angry Birds Trilogy,1,Activision,0.71,1,0,0,1,0,1,0,0,0,63.607142857142854,28.0,3.1943396226415097,53.0,Rovio Mobile
15,Angry Birds: Star Wars,7,Activision,0.49,1,0,0,1,1,1,1,1,1,,18.0,4.155974842767296,159.0,Rovio Mobile
16,Anubis II,10,Metro 3D,0.06,0,1,0,0,0,0,0,0,0,19.0,5.0,2.2,21.0,Data Design Interactive
17,Ape Escape Academy,6,Sony Computer Entertainment,0.33,0,0,1,0,0,0,0,0,0,51.0,48.0,5.8,4.0,Shift
18,AquaPazza: AquaPlus Dream Match,1,Aqua Plus,0.07,0,0,0,1,0,0,0,0,0,75.0,12.0,7.8,14.0,Examu
19,Arcania: Gothic 4,5,JoWood Productions,0.07,1,0,0,0,0,0,0,0,0,64.0,21.0,5.6,41.0,Spellbound
20,Are You Smarter than a 5th Grader? Game Time,12,THQ,0.11,1,0,0,0,0,0,0,0,0,,0.0,1.3,9.0,ImaginEngine
21,Armored Core 4,11,505 Games,0.42,1,0,0,1,0,0,0,0,0,65.0,67.0,6.96875,48.0,From Software
22,Army Corps of Hell,1,Square Enix,0.07,0,0,0,0,0,0,1,0,0,57.0,43.0,6.7,24.0,"Entersphere, Inc."
23,Army of Two,3,Electronic Arts,2.73,1,0,0,1,0,0,0,0,0,72.72268907563026,119.0,7.501030927835052,291.0,EA Montreal
24,Army of Two: The Devil's Cartel,3,Electronic Arts,0.36,1,0,0,1,0,0,0,0,0,55.31707317073171,82.0,6.1000000000000005,232.0,Visceral Games
25,Assassin's Creed II,1,Ubisoft,10.33,1,0,0,1,0,0,0,0,0,90.46052631578948,152.0,8.65776754890679,1738.0,Ubisoft Montreal
26,Assassin's Creed IV: Black Flag,1,Ubisoft,6.98,1,0,0,1,1,0,0,1,1,,103.0,7.807921928817451,1742.0,Ubisoft
27,Assassin's Creed: Bloodlines,1,Ubisoft,1.14,0,0,1,0,0,0,0,0,0,63.0,38.0,7.1,50.0,Griptonite Games
28,Atelier Totori: The Adventurer of Arland,5,Nippon Ichi Software,0.37,0,0,0,1,0,0,0,0,0,74.0,19.0,6.6,94.0,Gust
29,BIT.TRIP SAGA,6,Rising Star Games,0.09,0,0,0,0,0,1,0,0,0,75.0,21.0,8.0,22.0,Gaijin Games
30,Back to the Future: The Game,8,Telltale Games,0.1,0,1,0,1,0,0,0,0,0,66.0,12.0,6.214285714285714,28.0,Telltale Games
31,Backyard Baseball '09,2,Atari,0.04,0,1,0,0,0,0,0,0,0,37.0,4.0,7.8,5.0,Humongous Entertainment
32,Backyard Sports: Sandlot Sluggers,2,Atari,0.08,1,0,0,0,0,0,0,0,0,,0.0,3.8,4.0,HB Studios Multimedia
33,Baja: Edge of Control,9,THQ,0.36,1,0,0,1,0,0,0,0,0,63.5,56.0,6.0851851851851855,27.0,2XL Games
34,Bakugan Battle Brawlers: Defenders of the Core,1,Activision,0.24,1,0,0,1,0,0,0,0,0,57.05882352941177,17.0,,0.0,Now Production
35,Bakugan: Battle Brawlers,1,Activision,1.05,1,1,0,1,0,0,0,0,0,61.421052631578945,38.0,,15.0,Now Production
36,Band Hero,6,Activision,2.34,1,1,0,1,0,0,0,0,0,76.51282051282051,117.0,5.84,50.0,Neversoft Entertainment
37,Banjo-Kazooie,10,Microsoft Game Studios,0.01,1,0,0,0,0,0,0,0,0,77.0,17.0,8.1,54.0,4J Studios
38,Baroque,5,Rising Star Games,0.07,0,1,0,0,0,0,0,0,0,50.0,22.0,7.7,20.0,Sting
39,Bass Pro Shops: The Strike,2,XS Games,0.66,1,1,0,0,0,0,0,0,0,,4.0,6.7,10.0,Piranha Games
40,Batman: Arkham City,1,Warner Bros. Interactive Entertainment,9.329999999999998,1,0,0,1,0,0,0,0,1,92.45508982035928,167.0,8.521819499818776,2759.0,Rocksteady Studios
