nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Tiger Woods PGA Tour 06,X360,Sports,Electronic Arts,0.3,16-Nov-05,71.0,36.0,7.4,8.0,EA Sports
Peter Jackson's King Kong: The Official Game of the Movie,X360,Action,Ubisoft,0.23,21-Nov-05,80.0,57.0,7.2,60.0,Ubisoft Montpellier
Pinball Hall of Fame: The Gottlieb Collection,PSP,Misc,Play It,0.22,6-Dec-05,73.0,27.0,9.5,11.0,Farsight Studios
Tiger Woods PGA Tour 06,PSP,Sports,Electronic Arts,0.2,26-Sep-05,80.0,15.0,9,7.0,Team Fusion
Peter Jackson's King Kong: The Official Game of the Movie,PSP,Action,Ubisoft,0.18,20-Dec-05,56.0,10.0,6.2,20.0,Phoenix Games Studio
FIFA Soccer,PSP,Sports,Electronic Arts,0.12,25-Apr-05,73.0,23.0,7.7,22.0,EA Canada
WRC: FIA World Rally Championship,PSP,Racing,Sony Computer Entertainment,0.03,18-Apr-06,67.0,18.0,8.1,17.0,Traveller's Tales
Call of Duty 3,X360,Shooter,Activision,2.64,7-Nov-06,82.0,71.0,6.5,167.0,Treyarch
Marvel: Ultimate Alliance,X360,Role-Playing,Activision,2.47,24-Oct-06,82.0,68.0,7.3,91.0,Raven Software
Tom Clancy's Rainbow Six: Vegas,X360,Shooter,Ubisoft,1.92,20-Nov-06,88.0,69.0,8.4,179.0,Ubisoft Montreal
Madden NFL 07,X360,Sports,Electronic Arts,1.79,22-Aug-06,80.0,54.0,6,144.0,EA Tiburon
Fight Night Round 3,PS3,Fighting,Electronic Arts,1.64,5-Dec-06,83.0,37.0,7.9,20.0,EA Chicago
Need for Speed Carbon,X360,Racing,Electronic Arts,1.6,31-Oct-06,77.0,52.0,6.1,67.0,EA Canada
Call of Duty 3,PS3,Shooter,Activision,1.43,14-Nov-06,80.0,43.0,6.9,56.0,Treyarch
Fight Night Round 3,X360,Fighting,Electronic Arts,1.43,20-Feb-06,86.0,67.0,8.9,252.0,EA Chicago
Rayman Raving Rabbids,Wii,Misc,Ubisoft,1.38,14-Nov-06,76.0,54.0,8.1,103.0,Ubisoft Montpellier
LEGO Star Wars II: The Original Trilogy,PSP,Action,LucasArts,1.37,12-Sep-06,83.0,11.0,9,22.0,Traveller's Tales
Lost Planet: Extreme Condition,X360,Shooter,Capcom,1.31,12-Jan-07,79.0,76.0,7.1,161.0,Capcom
Need for Speed Carbon,Wii,Racing,Electronic Arts,1.25,19-Nov-06,67.0,21.0,7.7,23.0,EA Canada
Need for Speed Carbon,PS3,Racing,Electronic Arts,1.12,16-Nov-06,75.0,31.0,6.8,29.0,EA Canada
Winning Eleven: Pro Evolution Soccer 2007,PSP,Sports,Konami Digital Entertainment,0.86,6-Feb-07,81.0,10.0,8.8,13.0,KCET
The Sims 2: Pets,PSP,Simulation,Electronic Arts,0.78,14-Dec-06,57.0,9.0,7.8,9.0,Maxis
NCAA Football 07,X360,Sports,Electronic Arts,0.71,18-Jul-06,79.0,43.0,6.9,19.0,EA Sports
Blazing Angels: Squadrons of WWII,PS3,Simulation,Ubisoft,0.64,12-Dec-06,67.0,26.0,6.9,9.0,Ubisoft
LEGO Star Wars II: The Original Trilogy,X360,Action,LucasArts,0.61,12-Sep-06,81.0,50.0,7.9,39.0,Traveller's Tales
Tony Hawk's Project 8,PS3,Sports,Activision,0.59,17-Nov-06,76.0,43.0,7,10.0,Neversoft Entertainment
Tony Hawk's Project 8,PSP,Sports,Activision,0.55,21-Nov-06,68.0,11.0,7.8,13.0,Page 44 Studios
Madden NFL 07,PS3,Sports,Electronic Arts,0.51,14-Nov-06,76.0,25.0,4.2,18.0,EA Tiburon
Fight Night Round 3,PSP,Fighting,Electronic Arts,0.5,20-Feb-06,74.0,22.0,9,18.0,EA Chicago
Madden NFL 07,Wii,Sports,Electronic Arts,0.49,14-Nov-06,81.0,35.0,8,16.0,EA Canada
Tiger Woods PGA Tour 07,PS3,Sports,Electronic Arts,0.49,14-Nov-06,81.0,30.0,tbd,,EA Redwood Shores
FIFA World Cup Germany 2006,X360,Sports,Electronic Arts,0.48,24-Apr-06,72.0,49.0,6.6,33.0,EA Canada
Tony Hawk's Project 8,X360,Sports,Activision,0.47,7-Nov-06,81.0,65.0,7.5,33.0,Neversoft Entertainment
Tiger Woods PGA Tour 07,X360,Sports,Electronic Arts,0.47,17-Oct-06,80.0,44.0,7.9,21.0,EA Redwood Shores
Tomb Raider: Legend,PSP,Action,Eidos Interactive,0.44,21-Jun-06,67.0,28.0,7.7,21.0,Buzz Monkey
Blazing Angels: Squadrons of WWII,X360,Simulation,Ubisoft,0.4,23-Mar-06,66.0,58.0,7.9,52.0,Ubisoft
Marvel: Ultimate Alliance,Wii,Role-Playing,Activision,0.39,14-Nov-06,73.0,31.0,7.2,27.0,Vicarious Visions
Major League Baseball 2K6,X360,Sports,Spike,0.37,10-Apr-06,66.0,22.0,3.9,37.0,Kush Games
NCAA Football 07,PSP,Sports,Electronic Arts,0.36,18-Jul-06,75.0,16.0,7.9,11.0,EA Sports
Marvel: Ultimate Alliance,PSP,Role-Playing,Activision,0.36,24-Oct-06,81.0,19.0,8.1,10.0,Vicarious Visions
Marvel: Ultimate Alliance,PS3,Role-Playing,Activision,0.35,17-Nov-06,78.0,35.0,7.2,34.0,Raven Software
Tomb Raider: Legend,X360,Action,Eidos Interactive,0.32,11-Apr-06,80.0,54.0,6.9,54.0,Crystal Dynamics
Tiger Woods PGA Tour 07,PSP,Sports,Electronic Arts,0.27,10-Oct-06,78.0,23.0,tbd,,Team Fusion
NHL 07,X360,Sports,Electronic Arts,0.27,12-Sep-06,79.0,49.0,5.3,165.0,EA Sports
NBA 07,PS3,Sports,Sony Computer Entertainment,0.26,14-Nov-06,63.0,24.0,6.3,10.0,SCEA
NBA 07,PSP,Sports,Sony Computer Entertainment,0.2,25-Sep-06,68.0,24.0,tbd,,SCEA
College Hoops 2K7,X360,Sports,Take-Two Interactive,0.19,20-Nov-06,82.0,22.0,8.9,10.0,2K Sports
Armored Core 4,PS3,Simulation,505 Games,0.18,20-Mar-07,65.0,36.0,6.8,21.0,From Software
NHL 07,PSP,Sports,Electronic Arts,0.16,12-Sep-06,76.0,7.0,6.1,20.0,EA Sports
Bomberman,PSP,Puzzle,Konami Digital Entertainment,0.15,12-Sep-06,73.0,30.0,5.8,4.0,Hudson
World Series of Poker: Tournament of Champions 2007 Edition,X360,Misc,Activision,0.15,,,,,,
Metal Slug Anthology,Wii,Shooter,Ignition Entertainment,0.13,14-Dec-06,73.0,38.0,7.8,18.0,Terminal Reality
Pinball Hall of Fame: The Gottlieb Collection,Wii,Misc,System 3 Arcade Software,0.13,2-Dec-09,,,tbd,,Farsight Studios
Cabela's African Safari,X360,Sports,Activision Value,0.12,21-Nov-06,53.0,4.0,5.1,7.0,FUN Labs
Open Season,X360,Platform,Ubisoft,0.11,19-Sep-06,59.0,15.0,7.9,8.0,Ubisoft
FIFA World Cup Germany 2006,PSP,Sports,Electronic Arts,0.11,22-May-06,72.0,15.0,7.3,8.0,EA Canada
World Series of Poker: Tournament of Champions 2007 Edition,PSP,Misc,Activision,0.1,,,,,,
Winning Eleven: Pro Evolution Soccer 2007,X360,Sports,Konami Digital Entertainment,0.1,6-Feb-07,79.0,22.0,6.4,32.0,KCET
Open Season,PSP,Platform,Ubisoft,0.07,19-Sep-06,,,tbd,,Ubisoft
Dave Mirra BMX Challenge,PSP,Sports,Oxygen Interactive,0.07,2-Nov-06,32.0,11.0,6,6.0,Left Field Productions
Open Season,Wii,Platform,Ubisoft,0.07,30-Nov-06,49.0,5.0,4.8,6.0,Ubisoft
Cabela's African Safari,PSP,Sports,Activision Value,0.05,17-Oct-06,,,tbd,,FUN Labs
World Series of Poker: Tournament of Champions 2007 Edition,Wii,Misc,Activision,0.05,,,,,,
MotoGP,PSP,Racing,Sony Computer Entertainment,0.03,26-Sep-06,69.0,18.0,8.2,5.0,Namco Bandai Games
Enchanted Arms (JP sales),X360,Role-Playing,Ubisoft,0.02,,,,,,
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,5.26,6-Nov-07,80.0,17.0,8.8,46.0,Traveller's Tales
Guitar Hero III: Legends of Rock,Wii,Misc,Activision,4.56,26-Oct-08,86.0,36.0,8.3,78.0,Vicarious Visions
Guitar Hero III: Legends of Rock,X360,Misc,Activision,4.43,28-Oct-07,85.0,69.0,7.7,131.0,Neversoft Entertainment
BioShock,X360,Shooter,Take-Two Interactive,2.72,21-Aug-07,96.0,88.0,8.8,1893.0,"Irrational Games, 2K Marin"
Madden NFL 08,X360,Sports,Electronic Arts,2.35,14-Aug-07,85.0,46.0,6.4,105.0,EA Tiburon
Guitar Hero III: Legends of Rock,PS3,Misc,Activision,2.18,28-Oct-07,83.0,45.0,7.7,44.0,Neversoft Entertainment
LEGO Star Wars: The Complete Saga,X360,Action,LucasArts,2.12,6-Nov-07,80.0,24.0,6.8,71.0,Traveller's Tales
Need for Speed: ProStreet,X360,Racing,Electronic Arts,2.02,15-Nov-07,72.0,42.0,7.4,66.0,EA Black Box
Need for Speed: ProStreet,PS3,Racing,Electronic Arts,1.98,13-Nov-07,73.0,26.0,5.5,34.0,EA Black Box
LEGO Star Wars: The Complete Saga,PS3,Action,LucasArts,1.95,6-Nov-07,80.0,18.0,5.8,58.0,Traveller's Tales
The Orange Box,X360,Shooter,Electronic Arts,1.74,10-Oct-07,96.0,54.0,8.9,679.0,Valve Software
