nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Green Lantern: Rise of the Manhunters,X360,Action,Warner Bros. Interactive Entertainment,0.1,7-Jun-11,59.0,17.0,7,22.0,Double Helix Games
Kinect Sports: Season Two,X360,Sports,Microsoft Game Studios,2.18,25-Oct-11,66.0,46.0,6.3,27.0,"BigPark, Rare Ltd."
Brothers in Arms: Double Time,Wii,Shooter,Ubisoft,0.12,23-Sep-08,45.0,13.0,6.6,17.0,Gearbox Software
Steambot Chronicles: Battle Tournament,PSP,Fighting,Irem Software Engineering,0.06,30-Jun-09,54.0,14.0,6.1,7.0,Irem
Tiger Woods PGA Tour 07,Wii,Sports,Electronic Arts,0.46,13-Mar-07,71.0,41.0,6.9,44.0,EA Redwood Shores
Bodycount,PS3,Shooter,Codemasters,0.08,30-Aug-11,50.0,40.0,3.6,23.0,Guildford Studio
Divinity II: The Dragon Knight Saga,X360,Role-Playing,Focus Home Interactive,0.12,12-Apr-11,72.0,13.0,8,33.0,Larian Studios
M&M's Kart Racing,Wii,Racing,Zoo Digital Publishing,0.23,,,,,,
Band Hero,X360,Misc,Activision,0.72,3-Nov-09,76.0,52.0,5,29.0,Neversoft Entertainment
AquaPazza: AquaPlus Dream Match,PS3,Action,Aqua Plus,0.07,19-Nov-13,75.0,12.0,7.8,14.0,Examu
Thrillville: Off the Rails,Wii,Strategy,LucasArts,0.42,9-Oct-07,70.0,14.0,7,12.0,Frontier Developments
Invizimals,PSP,Strategy,Sony Computer Entertainment,0.74,12-Oct-10,69.0,32.0,6.9,15.0,Novarama
Condemned: Criminal Origins,X360,Action,Sega,0.38,16-Nov-05,81.0,72.0,8.2,100.0,Monolith Productions
Spider-Man: Web of Shadows,Wii,Action,Activision,0.25,21-Oct-08,63.0,20.0,6.3,7.0,"Shaba Games, Treyarch"
Angry Birds: Star Wars,PS4,Strategy,Activision,0.05,15-Nov-13,47.0,5.0,1.6,54.0,Rovio Mobile
"Ni Hao, Kai-lan: Super Game Day",Wii,Misc,Take-Two Interactive,0.18,26-Oct-09,,,tbd,,Take-Two Interactive
History Civil War: Secret Missions,X360,Shooter,Activision,0.13,,,,,,
Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami Digital Entertainment,5.85,12-Jun-08,94.0,82.0,8.7,2923.0,Kojima Productions
Kono Aozora ni Yakusoku o: Tenohira no Rakuen,PSP,Adventure,TGL,0.01,,,,,,
Assassin's Creed II,PS3,Action,Ubisoft,5.26,17-Nov-09,91.0,70.0,8.5,824.0,Ubisoft Montreal
Serious Sam HD: Gold Edition,X360,Shooter,Mastertronic,0.02,,,,,,
Megamind: Ultimate Showdown,X360,Adventure,THQ,0.11,2-Nov-10,33.0,7.0,4,4.0,THQ Australia
Naruto Shippuuden: Gekitou Ninja Taisen! EX 3,Wii,Fighting,Takara Tomy,0.07,,,,,,
NBA Live 14,PS4,Sports,Electronic Arts,0.07,19-Nov-13,43.0,24.0,2.5,145.0,EA Sports
Marvel: Ultimate Alliance,Wii,Role-Playing,Activision,0.39,14-Nov-06,73.0,31.0,7.2,27.0,Vicarious Visions
Just Dance 2014,X360,Misc,Ubisoft,0.72,8-Oct-13,79.0,16.0,7.2,27.0,Ubisoft
Gundam Battle Royale,PSP,Action,Namco Bandai Games,0.12,,,,,,
Madden NFL Football,3DS,Sports,Electronic Arts,0.31,22-Mar-11,49.0,18.0,5.4,14.0,EA Tiburon
Need for Speed Carbon: Own the City,PSP,Racing,Electronic Arts,2.38,31-Oct-06,73.0,14.0,8.2,34.0,EA Canada
FIFA Soccer 08,Wii,Sports,Electronic Arts,1.02,9-Oct-07,65.0,13.0,6.2,25.0,EA Canada
Sega Superstars Tennis,Wii,Sports,Sega,1.04,18-Mar-08,71.0,24.0,5.9,11.0,Sumo Digital
Klonoa,Wii,Platform,Namco Bandai Games,0.15,5-May-09,77.0,37.0,8.9,26.0,Paon Corporation
Family Feud Decades,Wii,Misc,Ubisoft,0.15,9-Nov-10,,,tbd,,Ludia
PopStar Guitar,Wii,Misc,Midway Games,0.04,28-Oct-08,,,tbd,,XS Games
Guilty Gear XX Accent Core,Wii,Fighting,505 Games,0.04,15-Oct-07,75.0,15.0,8.6,15.0,Arc System Works
Little League World Series Baseball: Double Play,Wii,Sports,Activision,0.07,13-Jul-10,,,tbd,,Activision
Dangan-Ronpa,PSP,Adventure,Unknown,0.23,25-Nov-10,,,9.6,11.0,Spike
Hasbro Family Game Night 3,PS3,Misc,Electronic Arts,0.22,26-Oct-10,,,tbd,,Electronic Arts
Kung Fu Panda,PS3,Platform,Activision,0.49,3-Jun-08,76.0,23.0,7.1,13.0,"Luxoflux, Inc."
Rapala Pro Bass Fishing 2010,PS3,Sports,Activision,0.22,28-Sep-10,,,tbd,,FUN Labs
Minute to Win It,X360,Misc,Zoo Games,0.31,18-Oct-11,,,tbd,,Smack Down Productions
Fantastic Four: Rise of the Silver Surfer,PS3,Action,Take-Two Interactive,0.14,15-Jun-07,47.0,26.0,5.3,6.0,Visual Concepts
Need for Speed: Most Wanted 5-1-0,PSP,Racing,Electronic Arts,1.97,15-Nov-05,72.0,21.0,7.7,48.0,EA Canada
Deadliest Catch: Sea of Chaos,Wii,Sports,Crave Entertainment,0.11,29-Nov-10,,,tbd,,Crave
James Bond 007: Blood Stone,X360,Action,Activision,0.42,2-Nov-10,62.0,66.0,7.1,54.0,Bizarre Creations
Major League Baseball 2K11,PS3,Sports,Take-Two Interactive,0.17,8-Mar-11,72.0,13.0,6.3,8.0,Visual Concepts
SimAnimals,Wii,Simulation,Electronic Arts,0.3,21-Jan-09,58.0,13.0,1.8,32.0,Electronic Arts
Condemned 2: Bloodshot,X360,Shooter,Sega,0.6,11-Mar-08,80.0,76.0,8.6,150.0,Monolith Productions
Crush3D,3DS,Platform,Sega,0.08,6-Mar-12,71.0,32.0,7.5,12.0,Zoe Mode
