temperatura,vacuo,energia
23.82,44.89,445.45
22.72,69.84,436.7
12.11,41.17,475.53
30.27,64.05,438.68
15.23,37.87,464.02
28.04,70.32,435.42
26.38,66.49,442.38
26.04,71.14,433.78
34.43,68.51,431.39
31.32,74.33,429.57
26.06,64.05,442.24
28.13,56.9,436.95
31.68,68.24,427.22
21.04,54.2,443.41
9.26,40.78,471.79
21.37,81.56,434.38
30.01,65.18,436.91
9.38,41.44,481.96
24.84,56.89,440.36
33.96,68.94,427.06
21.46,51.61,457.28
20.98,60.07,446.26
30.7,71.58,429.27
29.28,75.08,436.15
22.82,69.94,437.32
10.48,37.5,474.57
16.71,42.99,465.09
11.65,41.54,476.4
24.81,63.94,444.26
19.68,62.96,453.58
7.55,42.85,484.93
13.45,43.14,474.1
22.7,60.84,438.59
25.55,71.64,439.37
19.09,43.14,463.3
25.18,47.93,441.29
28.5,64.84,441.74
20.69,50.78,447.58
7.14,44.71,487.71
9.55,39.66,480.74
14.55,40.73,458.82
29.39,68.24,427.96
7.24,38.06,481.83
13.0,48.79,464.12
31.15,67.45,431.97
26.51,50.05,440.22
30.51,60.75,435.57
12.79,44.68,465.75
11.57,39.72,474.72
19.65,45.01,451.63
26.22,65.34,444.06
20.53,54.9,454.67
10.33,41.44,478.79
21.97,58.95,443.61
14.56,45.51,469.79
18.83,58.46,449.63
23.7,70.32,439.59
15.4,40.69,471.66
10.81,45.0,482.63
20.73,69.94,445.91
19.77,49.39,451.05
15.24,37.87,463.09
25.53,59.57,445.59
25.57,44.05,443.84
27.49,71.94,435.29
15.52,58.59,457.74
23.64,70.04,435.21
28.86,67.9,432.97
14.49,41.92,463.81
18.12,44.63,453.55
31.38,68.27,426.67
14.07,45.09,462.69
25.21,50.23,454.64
12.0,41.17,474.4
22.78,58.59,445.45
5.17,39.33,485.46
28.04,69.14,436.37
22.74,58.41,447.85
34.2,68.14,427.05
14.86,43.14,461.14
29.17,74.34,433.03
11.68,40.55,475.13
9.59,38.91,479.96
15.12,39.16,463.78
10.09,41.62,463.86
14.08,39.31,464.16
11.67,37.73,473.54
18.16,43.96,465.26
26.43,51.43,441.01
26.38,71.73,431.66
32.32,76.09,432.53
7.79,41.16,471.82
21.33,63.86,445.02
15.78,43.99,461.07
27.57,68.31,444.71
17.47,58.59,449.41
20.46,66.05,454.06
4.23,38.44,489.0
11.41,41.54,477.89
15.62,41.23,463.21
32.88,72.29,431.74
30.49,64.44,438.09
14.13,43.41,461.96
21.04,69.48,439.53
14.65,35.4,469.61
22.3,67.25,453.27
30.37,67.45,431.38
12.82,43.5,471.41
24.27,68.28,445.23
31.07,70.98,432.96
12.68,40.73,465.94
8.33,38.08,481.89
10.4,40.43,492.09
28.85,58.33,444.0
19.28,65.46,448.91
9.87,41.82,475.58
28.29,68.67,436.4
10.2,41.46,481.46
21.54,69.48,443.15
24.5,60.77,439.91
29.35,54.2,439.47
31.33,58.9,439.54
26.68,62.91,441.04
9.88,37.83,470.44
14.01,45.08,464.79
26.08,52.3,442.44
13.97,45.01,461.96
28.85,58.33,444.0
30.8,73.56,432.43
8.95,38.56,475.43
16.63,43.77,458.66
18.36,53.16,457.94
28.32,68.12,433.59
14.69,53.82,463.52
22.1,68.63,449.54
27.51,71.29,430.42
18.61,63.09,449.81
16.01,65.46,454.16
25.42,59.04,444.51
31.13,67.45,435.14
32.05,77.24,432.49
23.77,51.43,441.54
23.09,70.02,443.27
14.96,41.76,463.26
10.06,39.61,476.92
11.46,39.1,470.55
25.39,58.79,441.51
24.67,70.94,443.51
10.7,44.77,484.94
27.45,66.25,437.37
12.79,44.03,464.35
32.48,69.89,434.13
20.0,69.48,448.79
12.85,40.35,472.69
6.86,41.17,490.23
19.23,45.01,450.77
5.12,40.78,481.28
13.16,54.3,468.4
10.48,40.0,478.86
